"Caso","F. De Reclamo","Direccion","Comuna","OT","Proveedor Asignado","Estado","Observaciones","Attachments","Tipo de tarea","Equipo","Tipo de Elemento"
"826","2/1/2024","AYACUCHO 1307","2","781141479","PEBCOM","Pendiente","Colocar terminal para traspasar el nodo","0","Cambio","Nodo Teco","Terminal"
"1058","2/22/2024","MARMOL, JOSE 972","5","796913558","PEBCOM","Pendiente de Traspaso PROPIO","Pendiente de traspaso nodo propio","1","Cambio","Nodo Teco","Pasante"
"1246","3/7/2024","ANCHORENA, TOMAS MANUEL DE, DR. 1378","2","782794907","Optical Power","Pendiente de Traspaso PROPIO","Nodo transferido, retirar columna","1","Cambio","Nodo Teco","Pasante"
"6092","3/15/2024","ASUNCION 2783","15","788792584","PEBCOM","Pendiente","Aplomar Columna","1","Aplomo","Sin equipos","Terminal"
"1497","4/4/2024","SANCHEZ DE BUSTAMANTE 2064","2","784804268","Optical Power","Pendiente","Equipo de TLC ya traspasado solo Retirar Columna","0","Cambio","Nodo TLC","Pasante"
"1928","5/5/2024","ARREGUI 3910","10","800645483","PEBCOM","Pendiente",,"1","Cambio","Sin equipos","Pasante"
"2098","5/24/2024","AZURDUY JUANA 2449","13","788826017","NEW","Pendiente","Terminal con rienda","1","Cambio","Sin equipos","Pasante"
"2369","7/4/2024","JARAMILLO 3976","12","790860572","PEBCOM","Pendiente",,"1","Cambio","Sin equipos","Terminal"
"2463","7/15/2024","PACHECO DE MELO, JOSE ANDRES 3066","2","795698153","Optical Power","Pendiente","Equipo de TLC ya traspasado solo Retirar Columna","1","Cambio","Nodo TLC","Pasante"
"1999","7/19/2024","Arenales 2096","2","791764767","Propio","Pendiente de Traspaso PROPIO","Traspaso y retiro","1","Cambio","Nodo Teco","Terminal"
"791897762","8/2/2024","Aristobulo del Valle 1707","4","791897762","Sin Asignar","Pendiente","Pendiente","1","Cambio","Sin equipos",
"2655","8/2/2024","VUELTA DE OBLIGADO 3687","13","791898287","PEBCOM","Pendiente de Traspaso PROPIO",,"1","Cambio","Nodo Teco","Pasante"
"2689","8/2/2024","ECHEVERRIA 2850","13","791898330","PEBCOM","Pendiente","Ver foto para ubicar no tiene nodo","1","Cambio","Sin equipos",
"2779","8/6/2024","GUEVARA 687","15","792041586","PEBCOM","Pendiente","Falta traspaso y retiro","1","Cambio","Sin equipos","Pasante"
"2805","8/6/2024","MCAL SOLANO LOPEZ 3110","15","792101640","Optical Power","Pendiente","Retirar columna. TLC ya traspaso nodo","1","Cambio","Nodo TLC","Pasante"
"793113815","8/12/2024","Correa 1935","13","793113815","Sin Asignar","Pendiente","Cambio de poste y retiro de acometidas en desuso. Tarea pasada por T.E","1","Cambio","Sin equipos",
"3154","8/27/2024","BRAVO, MARIO 853","5","795498456","Optical Power","Pendiente","Sacar la rienda de la plantera","1","Tensor","Sin equipos","Poste"
"1871","9/5/2024","Bulnes 1810","14","796016024","Optical Power","Pendiente","Equipo de TLC ya traspasado, solo Retirar Columna","1","Cambio","Nodo TLC","Pasante"
"3299","9/10/2024","DIAZ COLODRERO 3309","12","796186684","NEW","Pendiente","Colocar columna para solicitar traspasos","1","Cambio","Nodo TLC","Pasante"
"2800","9/10/2024","Anchorena 1288","2","796212149","PEBCOM","Pendiente","Faltan traspasar redes y desmontar","1","Cambio","Sin equipos","Terminal"
"3291","9/13/2024","GUISE 1933","14","796325224","Optical Power","Pendiente","Retirar columna ya traspasaron fuente propia","1","No corresponde","Fuente Teco",
"1545","9/26/2024","Anchorena Tomas Manuel de 1324","2","797379000","PEBCOM","Pendiente","Pendiente de retiro la vieja","1","Cambio","Sin equipos","Terminal"
"3659","10/2/2024","ALBERTI 59","3","797489950","PEBCOM","Pendiente de Traspaso PROPIO","Pendiente de Traspaso y Retiro PROPIO","1","Aplomo","Nodo Teco","Pasante"
"3722","10/4/2024","ALVEAR AV. 1866","2","797507868","PEBCOM","Pendiente","Entre Av Callao y Ayacucho - Columna inclinada de 168","1","Aplomo","Sin equipos",
"3765","10/16/2024","NAZCA AV. 1675","11","798295165","PEBCOM","Pendiente de Traspaso PROPIO","Columna con base picada","1","Cambio","Fuente Teco","Pasante"
"3830","10/23/2024","COLOMBRES 75","5","798385574","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"3839","10/23/2024","PICO 1511","13","798390296","NEW","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"798513070","10/23/2024","Pedro Ignacio Rivera 4750","12","798513070","Sin Asignar","Pendiente","Transferir red y retirar columna.","1","Cambio","Nodo TLC","Pasante"
"798513095","10/23/2024","Rincon 343","3","798513095","PEBCOM","Pendiente de Traspaso PROPIO","Picada","1","Cambio","Nodo Teco",
"3887","10/29/2024","ESTADO DE ISRAEL AV. 4819","5","798894281","Optical Power","Pendiente","Inclinado","1","Aplomo","Sin equipos","Terminal"
"3893","10/29/2024","HERRERA 402","4","798894295","Optical Power","Pendiente","Inclinado En el form cargaron foto de otro caso","1","Aplomo","Sin equipos","Terminal"
"798897149","10/16/2024","José Andrés Pacheco de Melo 2084","2","798897149","Sin Asignar","Pendiente","Pendiente de traspaso Fuente TECO y retiro de columna","1","Cambio","Fuente Teco",
"798897163","10/17/2024","Juncal 2932","2","798897163","Sin Asignar","Pendiente","Columna Picada y/o Perforada","1","Cambio","Sin equipos",
"798897384","10/17/2024","Peña 3142","2","798897384","Sin Asignar","Pendiente","Columna Picada y/o Perforada","1","Cambio","Sin equipos",
"798897458","10/15/2024","Rojas 1091","6","798897458","Sin Asignar","Pendiente","Columna fuera de plomo (inclinada)","1","Aplomo","Sin equipos",
"6097","11/5/2024","PINTO 3910","12","799244296","PEBCOM","Pendiente","Columna fuera de plomo inclinada Pinto y Garcia del Rio","1","Aplomo","Sin equipos",
"3938","11/5/2024","GODOY CRUZ 2604","14","799246642","Optical Power","Pendiente","Realizar traspasos y retiro de columna vieja","1","Aplomo","Sin equipos","Terminal"
"2126","11/7/2024","QUESADA 5290","12","799451046","PEBCOM","Pendiente","Picadada","1","Cambio","Sin equipos","Pasante"
"4022","11/12/2024","PARAGUAY 3629","14","799982164","PEBCOM","Pendiente","Colocar columna para solicitar traspasos","1","Aplomo","Nodo TLC","Pasante"
"4025","11/12/2024","MEXICO 4249","5","799981143","Optical Power","Pendiente","Ver foto, colocar columna para traspasar","1","Cambio","Nodo Teco","Pasante"
"4054","11/14/2024","AV AVELLANEDA 4020","10","800367019","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"800367117","11/14/2024","José Hernández 1610","13","800367117","Sin Asignar","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"800367140","11/14/2024","Piedras 1374","1","800367140","Sin Asignar","Pendiente","Picada","1","Cambio","Sin equipos",
"4109","11/19/2024","MOLDES 1971","13","798307407","PEBCOM","Pendiente de Traspaso PROPIO","Base picada","1","Cambio","Nodo Teco","Pasante"
"4220","11/28/2024","MARTINEZ, VICTOR 41","6","800810066","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"4222","11/28/2024","HUMAHUACA 4500","5","800810078","Optical Power","Pendiente","Columna con base corroída/oxidada","1","Cambio","Sin equipos","Pasante"
"4368","12/9/2024","FORMOSA 541","6","801243635","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"801645024","12/13/2024","Fraga 1483","15","801645024","Sin Asignar","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"801645051","12/13/2024","Estomba 907","15","801645051","Sin Asignar","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"801645141","12/13/2024","Fraga 1501","15","801645141","Sin Asignar","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"801645368","12/13/2024","San Blas 1809","11","801645368","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"801645382","12/13/2024","Fraga 1788","15","801645382","Sin Asignar","Pendiente","Aplomar","0","Aplomo","Nodo/Fuente Teco","Pasante"
"4423","12/18/2024","VERA 1081","15","801734625","PEBCOM","Pendiente","PICADA","1","Cambio","Sin equipos","Terminal"
"4426","12/19/2024","LORA, FELIX 27","6","801768138","Optical Power","Pendiente","Traspaso de redes y retiro de columna TLC ya traspaso el nodo","1","Cambio","Nodo TLC","Pasante"
"-3","1/5/2024","FIGUEROA ALCORTA PTE ,AV. /ALT/ 5600","14","777580740","AYKO","Pendiente","Es F. ALCORTA 5600 (pasando Av de los ombues 100mts aprox.) Para cambiar es un poste con muchas rajaduras, en Figueroa Alcorta esq. Av de los Ombues","0","Cambio","Sin equipos","Poste"
"-9","1/13/2024","SANTA FE ,AV. /ALT/ 5154","14","777843837","AYKO","Pendiente","cambio de columna la misma NO presenta riesgo de caída","0","Cambio","Sin equipos","Pasante"
"-10","1/15/2024","DARWIN /ALT/ 651","15","777863458","AYKO","Pendiente",,"0","Cambio","Sin equipos","Pasante"
"-15","1/25/2024","GUATEMALA /ALT/ 5933","14","778787388","AYKO","Pendiente","columna de 114mm de nuestra propiedad que esta quebrada en su base para remplazar ubicada en GUATEMALA 5933 ","0","Cambio","Sin equipos","Pasante"
"6243","1/30/2024","GARCIA, TEODORO 3252","13","779373118","Optical Power","Pendiente","Colocar R400 para posterior traspaso","1","Cambio","Fuente Teco","Pasante"
"-20","2/6/2024","CONSTITUCION /ALT/ 1739","1","780027603","INCO","Pendiente","Direccion correcta 1736","0",,,"Pasante"
"780035752","2/7/2024","BAEZ 489","14","780035752","INCO","Pendiente","Recambio de columna","1",,,"Pasante"
"-23","2/7/2024","FRENCH /ALT/ 2380","2","780043028","INCO","Pendiente",,"0",,,"Pasante"
"-28","2/20/2024","ZABALA /ALT/ 2836","13","780340125","INCO","Pendiente","ZABALA 2836 - Reemplazar C114","0",,,"Pasante"
"-30","2/21/2024","VEGA CNEL NICETO /ALT/ 4984","14","780352873","AYKO","Pendiente","Recambio de columna","0","Cambio","Sin equipos","Pasante"
"-34","2/26/2024","DORREGO ,AV. /ALT/ 2622","14","780713073","AYKO","Pendiente","Recambio de columna","1","Cambio","Sin equipos","Pasante"
"-43","3/11/2024","VELEZ SARSFIELD ,AV. /ALT/ 299","4","781392461","INCO","Pendiente","Poste metal cv con base con leve corrosión y superficie inclinada sin riesgo de caída ","0",,,"Pasante"
"-51","4/5/2024","CHARCAS /ALT/ 4176","14","782773317","Optical Power","Pendiente","columna de 114mm de nuestra propiedad que esta quebrada y en mal estado, para remplazar ubicada en CHARCAS 4176 ","0","Cambio","Nodo Teco","Pasante"
"-70","5/3/2024","AGUERO /ALT/ 2310","2","784675618","INCO","Pendiente",,"0",,,"Pasante"
"-71","5/3/2024","ANDONAEGUI /ALT/ 3696","12","784675639","INCO","Pendiente","Para cambiar columna fte al 3688","0",,,"Pasante"
"-100","6/11/2024","HUMBERTO PRIMO /ALT/ 1416","1","788000212","INCO","Pendiente","Cambio de columna.-","0",,,"Pasante"
"-103","6/12/2024","SALGUERO JERONIMO /ALT/ 2533","14","788206681","AYKO","Pendiente","Altura correcta 2549","0","Cambio","Sin equipos","Pasante"
"-105","6/24/2024","RINCON /ALT/ 1191","3","789151020","INCO","Pendiente","recambio de columna podrida en la base","0",,,"Pasante"
"-109","7/8/2024","YRIGOYEN HIPOLITO /ALT/ 1938","3","790175801","INCO","Pendiente","Cambio de columna.-","0",,,"Pasante"
"-111","7/12/2024","CATAMARCA /ALT/ 1127","3","790298182","INCO","Pendiente","Cambio de columna.-","0",,,"Pasante"
"-118","8/15/2024","SUCRE MRCAL A J DE /ALT/ 1437","13","793333193","AYKO","Pendiente","Retirar columna vieja, nodo ya traspasado","0","Cambio","Nodo Teco","Pasante"
"-143","10/7/2024","CIUDAD DE LA PAZ /ALT/ 2261","13","797752816","AYKO","Pendiente",,"0","Cambio","Nodo TLC","Pasante"
"-152","11/1/2024","FERNANDEZ DE ENCISO /ALT/ 3610","11","798984311","AYKO","Pendiente","El poste esta pegado al arbol ver la foto adjunta","0","Cambio","Sin equipos","Poste"
"-160","11/1/2024","MORAN PEDRO /ALT/ 3100","15","798984905","AYKO","Pendiente",,"0","Cambio","Sin equipos","Poste"
"-193","12/31/2023","WASHINGTON /ALT/ 3251","12","799539971","AYKO","Pendiente","Washington 3251 cambiar columna de 114 transferir tendidos. dejar pasivos en norma","0","Cambio","Sin equipos","Pasante"
"-201","12/31/2023","MIGUELETES /ALT/ 1007","14","799540497","AYKO","Pendiente","reemplazo de columnas en mal estado Migueletes 1007 reemplazar columna 114 y colocar rienda a pique","0","Cambio","Sin equipos","Terminal"
"-202","12/31/2023","MIGUELETES /ALT/ 1030","14","799540503","AYKO","Pendiente","Recambio de columna - alt correcta 1010","0","Cambio","Sin equipos","Terminal"
"-203","12/31/2023","NEWBERY JORGE /ALT/ 2644","14","799540511","AYKO","Pendiente","Recambio de columna","0","Cambio","Sin equipos","Pasante"
"-204","12/31/2023","PARAGUAY /ALT/ 5549","14","799540519","PEBCOM","Pendiente de Traspaso PROPIO","Recambio de columna","0","Cambio","Nodo Teco","Pasante"
"5589","12/31/2023","ARCOS 1520","13","799540526","NEW","Pendiente de Traspaso PROPIO","Picada","0",,,"Pasante"
"-212","11/7/2024","FIGUEROA CNEL APOLINARIO /ALT/ 863","6","799485362","Sin Asignar","Pendiente","Colocar columna para pedir el traspaso","0","Cambio","Nodo Teco","Pasante"
"-213","11/7/2024","SCALABRINI ORTIZ R ,AV. /ALT/ 2452","14","799451003","AYKO","Pendiente",,"0","Cambio","Sin equipos","Pasante"
"-214","11/7/2024","SCALABRINI ORTIZ R ,AV. /ALT/ 2394","14","799450985","AYKO","Pendiente",,"0","Cambio","Sin equipos","Pasante"
"5884","11/7/2024","OLLEROS 2952","13","799450967","Optical Power","Pendiente","Solo retirar columna ya se realizo traspaso","0","Cambio","Nodo Teco","Pasante"
"-216","5/2/2024","ORTIZ DE OCAMPO ,AV. /ALT/ 2635","14","784655947","AYKO","Pendiente","Cambiar","0","Cambio","Sin equipos","Pasante"
"-219","10/31/2024","LA PAMPA /ALT/ 2836","13","798953875","AYKO","Pendiente","Colocar Columna entre 2836/2838 ver con inspector la viabilidad","0","Cambio","Sin equipos","Pasante"
"-226","11/20/2024","CUBA /ALT/ 2308","13","800502281","AYKO","Pendiente","Cambiar","0","Cambio","Sin equipos","Pasante"
"-228","11/22/2024","ALVAREZ JULIAN /ALT/ 1272","14","800645527","AYKO","Pendiente","Cambiar","0","Cambio","Sin equipos","Pasante"
"-247","12/26/2024","CONCORDIA /ALT/ 925","11","802055232","INCO","Pendiente","Pasante con priroidad","1","Cambio","Sin equipos","Pasante"
"-254","1/7/2025","BELAUSTEGUI DR LUIS /ALT/ 1185","6","802367713","AYKO","Pendiente",,"1","Cambio","Nodo Teco","Pasante"
"-255","1/8/2025","GURRUCHAGA /ALT/ 408","15","802393948","INCO","Pendiente",,"1","Cambio","Nodo/Fuente Teco","Pasante"
"4579","1/9/2025","PASCO 10","3","802438793","PEBCOM","Pendiente de Traspaso PROPIO","PIcada","1","Cambio","Nodo TLC","Terminal"
"4622","1/14/2025","Campana	534","10","802657454","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"4595","1/15/2025","PAROISSIEN 1806","13","802747617","NEW","Pendiente","Aplomar","1","Aplomo","Sin equipos","Terminal"
"4528","1/16/2025","BARCO CENTENERA DEL 545","5","802774521","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"4659","1/17/2025","GRIVEO 2209","12","802790387","PEBCOM","Pendiente","Inclinada","1","Aplomo","Sin equipos","Terminal"
"4662","1/21/2025","ALTOLAGUIRRE 2397","12","802823938","NEW","Pendiente","Inclinada","1","Aplomo","Sin equipos","Pasante"
"4680","1/22/2025","CUENCA 3345","11","802843289","Optical Power","Pendiente de Traspaso PROPIO","Picada","1","Cambio","Nodo Teco","Pasante"
"-263","1/22/2025","Fraga 93","15","802848838","AYKO","Pendiente","Picada","1","Cambio","Sin equipos","Terminal"
"4688","1/23/2025","CALVO, CARLOS 1784","1","802857158","PEBCOM","Pendiente","Inclinado","1","Aplomo","Sin equipos","Terminal"
"4353","1/23/2025","FORMOSA 535","6","802857178","Optical Power","Pendiente","Colocar columna para traspasar Nodo Telecom","1","Cambio","Nodo Teco","Pasante"
"4862","1/23/2025","ARCOS 2263","13","802857379","NEW","Pendiente de Traspaso PROPIO","picada","0","Cambio","Nodo Teco","Pasante"
"5750","1/24/2025","BRASIL 2561","4","802871857","Optical Power","Pendiente","Colocar columna R400 - Fuente Teco","1","Cambio","Fuente Teco","Pasante"
"-271","1/27/2025","HELGUERA /ALT/ 1405","11","802925468","INCO","Pendiente","Base picada","1","Cambio","Sin equipos","Pasante"
"4791","1/30/2025","RONDEAU 2775","4","802988219","Optical Power","Pendiente","Relevar","1","Cambio","Nodo Teco","Pasante"
"4768","1/30/2025","VALLESE, FELIPE 684","6","802988221","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-275","2/3/2025","DEAN FUNES /ALT/ 481","3","803039902","INCO","Pendiente","Propia diámetro 114mm ","1","Cambio","Sin equipos","Pasante"
"4811","2/3/2025","ALVAREZ, JULIAN 2395","14","803086849","PEBCOM","Pendiente","Base picada","1","Cambio","Sin equipos","Pasante"
"4831","2/4/2025","MERCEDES 3054","11","803086856","Optical Power","Pendiente","Sacar rienda a pique ver con inspector","1","Cambio","Sin equipos","Poste"
"803607506","2/7/2025","Paraguay 1312","1","803607506","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"4696","2/10/2025","YERBAL 489","6","803607520","Propio","Pendiente de Traspaso PROPIO","Traspasar nodo propio","1","Cambio","Nodo Teco","Pasante"
"4895","2/12/2025","ALVAREZ THOMAS AV. 1335","15","803607583","PEBCOM","Pendiente","fuera de plomo","1","Aplomo","Sin equipos","Pasante"
"4938","2/14/2025","CHACO 195","6","803607699","Propio","Pendiente de Traspaso PROPIO","Traspasar nodo propio","1","Cambio","Nodo Teco","Pasante"
"803607889","2/19/2025","Arenales 2548","2","803607889","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"803607945","2/19/2025","Jean Jaures 1125","2","803607945","Sin Asignar","Pendiente","Tensor roto","1","Tensor","Sin equipos","Pasante"
"803608208","2/24/2025","LA PAMPA /ALT/ 1001","13","803608208","Sin Asignar","Pendiente","Cambiar columna base corroida *prioridad media ","0","Cambio","Sin equipos","Pasante"
"803608215","2/24/2025","DEL PINO VIRREY /ALT/ 2646","13","803608215","AYKO","Pendiente","Columna 114 quebrada en base dar prioridad.","0","Cambio","Sin equipos","Pasante"
"803608468","2/24/2025","MOLDES /ALT/ 2143","13","803608468","Sin Asignar","Pendiente","Corroida en base sin riesgo de caída, tienen tendido de fibra, cdo y nap también tienen nodo de telecentro ","0","Cambio","Nodo/Fuente Teco","Pasante"
"803608178","2/24/2025","HERNANDEZ JOSE /ALT/ 1454","13","803608178","Sin Asignar","Pendiente","Cambiar columna 114 y efectuar transferencias base corroida prioridad media ","0","Cambio","Nodo/Fuente Teco","Pasante"
"6036","2/24/2025","MEDRANO 1715","14","803608181","NEW","Pendiente",,"0","Cambio","Nodo Teco","Pasante"
"803608463","2/24/2025","COCHABAMBA /ALT/ 1790","1","803608463","AYKO","Pendiente","SIN RIEGO","0","Cambio","Nodo/Fuente Teco","Pasante"
"803608480","2/24/2025","GUATEMALA /ALT/ 4415","14","803608480","Sin Asignar","Pendiente","Guatemala 4415 ","0","Cambio","Sin equipos","Pasante"
"-281","2/26/2025","SOLER /ALT/ 4517","14","803651203","AYKO","Pendiente","columna de 114 con nodo y redes nuestra.","0","Cambio","Nodo/Fuente Teco","Pasante"
"6066","2/26/2025","ALBARIÑO 1331","9","803651213","Optical Power","Pendiente","Podrida en la base","1","Cambio","Sin equipos","Pasante"
"803666441","2/28/2025","Pichincha 1160","3","803666441","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"5496","3/7/2025","ISABEL LA CATOLICA 1539","4","803778980","Optical Power","Pendiente","Picada cambiaron la incorrecta","0","Cambio","Sin equipos","Pasante"
"803778985","3/7/2025","Arenales 3108","2","803778985","Sin Asignar","Pendiente","Aplomar - Ver previamente con inspector","0","Cambio","Sin equipos","Pasante"
"5037","3/7/2025","Monroe 3605","12","803825082","NEW","Pendiente","Columna inclinada","0","Aplomo","Sin equipos","Pasante"
"803825124","3/7/2025","José A. Cabrera 3086","2","803825124","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"803969308","3/11/2025","Paraguay 2499","2","803969308","Sin Asignar","Pendiente","Aplomar","0","Cambio","Sin equipos","Terminal"
"5053","3/11/2025","MENDOZA 1153","13","803969314","NEW","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"4373","3/12/2025","BERUTI 2716","4","803969347","Optical Power","Pendiente","Base picada","0","Cambio","Sin equipos","Pasante"
"6029","3/13/2025","TANDIL 4746","9","803983204","PEBCOM","Pendiente de Traspaso PROPIO",,"0","Cambio","Fuente Teco","Terminal"
"804018152","3/14/2025","Carlos Calvo 2765","3","804018152","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"804018226","3/14/2025","Humberto 1º 2849","3","804018226","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"6071","3/17/2025","OSORIO 4994","15","804053324","NEW","Pendiente",,"0","Cambio","Sin equipos","Pasante"
"804161204","3/18/2025","Av. Hipólito Yrigoyen 3451","5","804161204","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"804161220","3/18/2025","Carlos Calvo 4009","5","804161220","Sin Asignar","Pendiente","Con prioridad","0","Cambio","Sin equipos","Pasante"
"804161231","3/18/2025","Treinta y Tres Orientales 905","5","804161231","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"804270064","3/21/2025","Colombres 636","5","804270064","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"804270068","3/21/2025","Quito 4292","5","804270068","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"804270074","3/21/2025","Maza 836","5","804270074","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"-307","3/25/2025","BERUTI ANTONIO /ALT/ 4645","14","804288212","AYKO","Pendiente","Picada traspasar red y retirar columna","1","Cambio","Sin equipos","Terminal"
"2485","3/26/2025","LA PLATA AV. 1095","7","804302893","PEBCOM","Pendiente","Sacar ancla de rienda vieja y cementar vereda","1","Tensor","Sin equipos","Terminal"
"2114","3/27/2025","THAMES 649","15","804309655","Sin Asignar","Pendiente","QAP traspaso fuente propia para posterior pasar a TLC","1","Cambio","Nodo/Fuente TLC","Pasante"
"2124","3/27/2025","LA PAMPA 5510","15","804309657","PEBCOM","Pendiente","Aplomar","1","Cambio","Sin equipos","Terminal"
"3348","3/27/2025","ESTOMBA 2626","12","804309704","NEW","Pendiente","Picada","1","Desmonte","Sin equipos","Pasante"
"4163","3/27/2025","3 DE FEBRERO 990","14","804309752","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Terminal"
"4494","3/27/2025","BALLIVIAN 2987","15","804309772","PEBCOM","Pendiente","Aplomar","1","Aplomo","Sin equipos","Terminal"
"4572","3/27/2025","RIVADAVIA AV. 5263","6","804309785","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"4179","3/27/2025","ZELARRAYAN 6147","8","804309801","Optical Power","Pendiente de Traspaso PROPIO",,"1","Cambio","Nodo Teco","Pasante"
"5115","3/28/2025","PRINGLES 1470","14","804316147","PEBCOM","Pendiente","Aplomar","1","Aplomo","Sin equipos","Pasante"
"5124","3/28/2025","BOGOTA 2936","7","804323945","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-312","3/29/2025","MATIENZO BENJAMIN /ALT/ 1831","14","804333522","NEW","Pendiente","Retirar columna ya traspasaron el nodo","0","Cambio","Nodo Teco","Pasante"
"804427439","4/1/2025","Conesa 2195","13","804427439","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"804427444","4/1/2025","Cochrane 2864","12","804427444","Sin Asignar","Pendiente","Aplomar","0","Cambio","Sin equipos","Pasante"
"804468430","4/1/2025","Honduras 4160","14","804468430","Sin Asignar","Pendiente","Poste de madera inclinado","0","Cambio","Sin equipos","Poste"
"3430","4/1/2025","MONROE 3838","12","804468442","NEW","Pendiente","Reparar rienda","1","Tensor","Sin equipos","Terminal"
"-316","4/3/2025","ALBERTI /ALT/ 621","3","804468365","AYKO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"5464","4/4/2025","SUCRE, ANTONIO JOSE DE, MCAL. 3100","13","804497880","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Terminal"
"5469","4/4/2025","ESTADO PLURINACIONAL DE BOLIVIA 5899","12","804497887","NEW","Pendiente","Aplomar","1","Aplomo","Sin equipos","Terminal"
"5492","4/4/2025","ESTADO PLURINACIONAL DE BOLIVIA 5920","12","804498035","NEW","Pendiente","aplomar","1","Aplomo","Sin equipos","Terminal"
"804568979","4/8/2025","Quesada 2710","13","804568979","Sin Asignar","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"5521","4/8/2025","EL PEREGRINO 3115","11","804569000","Optical Power","Pendiente","Volvio a ingresar se inclino el poste - caso 6316","1","Aplomo","Sin equipos","Poste"
"-317","4/9/2025","CIUDAD DE LA PAZ /ALT/ 612","13","804569034","Optical Power","Pendiente","Solo retirar columna ya se realizo traspaso en las fotos no se ve pero ya esta realizado","1","Cambio","Nodo Teco","Pasante"
"6009","4/8/2025","SARMIENTO 4290","14","804569065","Optical Power","Pendiente","Columna corroída en su base","1","Cambio","Sin equipos","Pasante"
"5566","4/11/2025","URIBURU JOSE E., PRES. 1415","2","804634219","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-327","4/14/2025","ROOSEVELT F D ,AV. /ALT/ 5439","12","804634203","AYKO","Pendiente","Colocar columna R200 y  dar aviso para el traspaso de nodos. (TECO y TLC)","1","Cambio","Nodo Teco","Pasante"
"5573","4/14/2025","LASTRA AV. 4379","11","804663677","AYKO","Pendiente","Columna inclinada","1","Aplomo","Sin equipos","Pasante"
"5599","4/15/2025","ESTOMBA 4052","12","804732246","NEW","Pendiente","Columna PRFV quedo inclinada (la hicieron como estomba 4056)","1","Aplomo","Nodo TLC","Pasante"
"5601","4/15/2025","JURAMENTO 3964","12","804732274","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"5590","4/15/2025","O'HIGGINS 2441","13","804732275","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"804736517","4/15/2025","Av. Gral. Mosconi 2490","12","804736517","Sin Asignar","Pendiente","Chocada","1","Cambio","Sin equipos","Pasante"
"804736500","4/15/2025","Vuelta de Obligado 2775","13","804736500","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"804736400","4/15/2025","Arévalo 2222","14","804736400","Sin Asignar","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"804787368","4/17/2025","San Blas 2591","11","804787368","Sin Asignar","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"804838873","4/21/2025","Teodoro Vilardebo 2553","11","804838873","Sin Asignar","Pendiente","Aplomar poste","1","Aplomo","Sin equipos","Poste"
"-336","4/21/2025","BAUNESS /ALT/ 1419","15","804838856","AYKO","Pendiente","""Aplomar columna 114 con rienda a pique o colocar terminal""","1","Cambio","Sin equipos","Pasante"
